True Labels,Predictions
1,0.9828332
1,0.91372466
1,0.21533218
1,0.8414979
1,0.9634818
1,0.25884387
1,0.9946938
1,0.98293924
1,0.989057
1,0.9825723
1,0.99995375
1,0.98338425
1,0.60468763
1,0.7598568
1,0.06866456
1,0.7636195
1,0.9829192
1,0.7877146
1,0.99905723
1,0.9993742
1,0.8618998
1,0.99959165
1,0.99811566
1,0.99555224
1,0.8057978
1,0.22860765
1,0.9832366
1,0.91637063
1,0.8640008
1,0.9832439
1,0.9666511
1,0.98920864
1,0.8698391
1,0.9173532
1,0.98752326
1,0.89341486
1,0.31187084
1,0.8543276
1,0.9862533
1,0.9997402
1,0.8133226
1,0.9986934
1,0.9131552
1,0.9829327
1,0.91568404
1,0.9355807
1,0.99813557
1,0.98031795
1,0.5069832
1,0.5393435
1,0.8577708
1,0.99987507
1,0.8602861
1,0.99911755
1,0.9832333
1,0.51495516
1,0.89737886
1,0.99549085
1,0.9116281
1,0.99969065
1,0.9211411
1,0.98712814
1,0.9947513
1,0.9930708
1,0.942587
1,0.84406346
1,0.9123287
1,0.9776613
1,0.37921712
1,0.9680365
1,0.8364004
1,0.9280435
1,0.6369933
1,0.9825241
1,0.88634694
1,0.99986494
1,0.9833906
1,0.9942697
1,0.9830868
1,0.9682437
1,0.9830282
1,0.84558225
1,0.9550752
1,0.9831513
1,0.9857986
1,0.9889931
1,0.7995541
1,0.9757986
1,0.8854771
1,0.99539953
1,0.9994491
1,0.24696244
1,0.99777955
1,0.3698935
1,0.9832478
1,0.98266554
1,0.9904783
1,0.99538594
1,0.98311794
1,0.9142688
1,0.9170328
1,0.48244017
1,0.7824499
1,0.99851876
1,0.97637933
1,0.98316807
1,0.60110253
1,0.38447028
1,0.96456605
1,0.9898533
1,0.99938
1,0.9665308
1,0.7461811
1,0.9439176
1,0.74211025
1,0.99975437
1,0.51916355
1,0.98296034
1,0.94488376
1,0.31385165
1,0.98962224
1,0.9868968
1,0.98300964
1,0.8310829
1,0.9070581
1,0.8020848
1,0.97358036
1,0.7772458
1,0.9792269
1,0.76993185
1,0.9994166
1,0.9638635
1,0.97498125
1,0.9116848
1,0.941952
1,0.68417686
1,0.84560263
1,0.9922565
1,0.7274818
1,0.98302877
1,0.9830177
1,0.96580774
1,0.7850363
1,0.98346287
1,0.8042153
1,0.8707223
1,0.8814111
1,0.99897015
1,0.9829821
1,0.999762
1,0.98369354
1,0.92506754
1,0.98621815
1,0.99353325
1,0.7334941
1,0.9828683
1,0.99735177
1,0.8872948
1,0.91271126
1,0.98444724
1,0.9971329
1,0.99864537
1,0.95200074
1,0.9902906
1,0.8552186
1,0.9970391
1,0.7149738
1,0.9827608
1,0.98299855
1,0.99389005
1,0.46715078
1,0.81486136
1,0.4691457
1,0.7875486
1,0.337209
1,0.99474144
1,0.9827178
1,0.9829496
1,0.838336
1,0.9994443
1,0.98895514
1,0.9975719
1,0.99790573
1,0.9992787
1,0.778365
1,0.62613374
1,0.99971026
1,0.6518927
1,0.9616162
1,0.7425411
1,0.9822488
1,0.9135862
1,0.98329747
1,0.99975055
1,0.71274596
1,0.80865276
1,0.982961
1,0.9826136
1,0.93701655
1,0.99924904
1,0.7880873
1,0.6021557
1,0.99980646
1,0.9824552
1,0.9386298
1,0.9925029
1,0.78517103
1,0.9605564
1,0.9996599
1,0.983063
1,0.88412976
1,0.99609935
1,0.5904586
1,0.27456594
1,0.99620974
1,0.9832843
1,0.90088105
1,0.97696984
1,0.99955136
1,0.9152959
1,0.985966
1,0.671104
1,0.89905214
1,0.7822024
1,0.97791934
1,0.87465256
1,0.9945209
1,0.9905827
1,0.98307425
1,0.98300755
1,0.9821457
1,0.9215389
1,0.9048392
1,0.94908434
1,0.6161268
1,0.9832615
1,0.80908805
1,0.99996316
1,0.9927027
1,0.7305735
1,0.8000391
1,0.98882234
1,0.98331463
1,0.014186657
1,0.99141055
1,0.6416088
1,0.99851614
1,0.94602096
1,0.98315316
1,0.9999349
1,0.9998031
1,0.98276526
1,0.99673223
1,0.8479915
1,0.15385614
1,0.18257667
1,0.9087344
1,0.98345274
1,0.988331
1,0.9857728
1,0.79830813
1,0.99981123
1,0.9883016
1,0.9500318
1,0.95593905
1,0.99989593
1,0.9112321
1,0.98963356
1,0.9996631
1,0.9396067
1,0.9334374
1,0.84533715
1,0.99992096
1,0.7800684
1,0.91798604
1,0.88861805
1,0.9827184
1,0.843695
1,0.8353743
1,0.98262125
1,0.015112415
1,0.98732275
1,0.99742496
1,0.9808699
1,0.5787215
1,0.9505703
1,0.9998385
1,0.77193815
1,0.93636775
1,0.9831498
1,0.6911117
1,0.8483987
1,0.85761565
1,0.50455076
1,0.9613147
1,0.9824242
1,0.8701202
1,0.9975527
1,0.9790546
1,0.83610797
1,0.9699024
