True Labels,Predictions
1,0.2668193
1,0.9765266
1,0.9874449
1,0.97969395
1,0.99433076
1,0.8712823
1,0.9249626
1,0.9834325
1,0.9041462
1,0.8161652
1,0.9155605
1,0.92137814
1,0.8329644
1,0.8634555
1,0.9339088
1,0.92609835
1,0.88378084
1,0.98051983
1,0.9931311
1,0.9654551
1,0.99972767
1,0.86666507
1,0.9972662
1,0.97808444
1,0.97542965
1,0.977974
1,0.9552009
1,0.939
1,0.9782096
1,0.97631353
1,0.7299427
1,0.6172856
1,0.8854254
1,0.83291
1,0.7362775
1,0.802392
1,0.7107808
1,0.99787164
1,0.5983266
1,0.9867186
1,0.94100016
1,0.9950552
1,0.8126333
1,0.9711013
1,0.9260467
1,0.987033
1,0.9773746
1,0.9767273
1,0.81626654
1,0.99563855
1,0.9771036
1,0.6321115
1,0.9994968
1,0.9772554
1,0.89468485
1,0.9962256
1,0.9772841
1,0.80571425
1,0.9139293
1,0.9933629
1,0.97842306
1,0.9997296
1,0.9375237
1,0.9744193
1,0.9839065
1,0.9997603
1,0.9782431
1,0.9528276
1,0.979455
1,0.92362213
1,0.96241087
1,0.97678703
1,0.8867978
1,0.9995401
1,0.90132457
1,0.9487938
1,0.59499896
1,0.96318585
1,0.9832244
1,0.9752347
1,0.92518705
1,0.772858
1,0.6702092
1,0.8968631
1,0.99625045
1,0.97815734
1,0.9972185
1,0.9742268
1,0.7539361
1,0.9139087
1,0.8205318
1,0.9997863
1,0.9764935
1,0.9770502
1,0.9851799
1,0.85244954
1,0.9830084
1,0.97593486
1,0.4274371
1,0.9929242
1,0.98783255
1,0.92367727
1,0.9766153
1,0.9756055
1,0.30505696
1,0.6969711
1,0.9877415
1,0.78013825
1,0.9994373
1,0.9810659
1,0.97735095
1,0.912977
1,0.9951232
1,0.9991447
1,0.9983941
1,0.968117
1,0.9960359
1,0.9282386
1,0.97759676
1,0.97489583
1,0.99365187
1,0.9999087
1,0.594786
1,0.93606436
1,0.9412409
1,0.9010269
1,0.9127469
1,0.99504435
1,0.99789774
1,0.99755967
1,0.81217533
1,0.8095009
1,0.16641484
1,0.8000189
1,0.8978493
1,0.8792771
1,0.97850865
1,0.47309753
1,0.80110115
1,0.95859903
1,0.999931
1,0.9991788
1,0.999616
1,0.8902048
1,0.53229153
1,0.9934462
1,0.9248063
1,0.96002126
1,0.99987924
1,0.9904203
1,0.93597716
1,0.99956864
1,0.724475
1,0.8421405
1,0.6064361
1,0.9738733
1,0.9924385
1,0.8195675
1,0.8651236
1,0.9722889
1,0.7804528
1,0.8710026
1,0.8763701
1,0.9422714
1,0.92449147
1,0.99571216
1,0.9842631
1,0.9808639
1,0.9999242
1,0.81316125
1,0.81667054
1,0.9767651
1,0.9869214
1,0.9229401
1,0.94316125
1,0.8243574
1,0.9756085
1,0.5023794
1,0.9308481
1,0.9499508
1,0.9885775
1,0.99764484
1,0.9986357
1,0.97701925
1,0.92351425
1,0.9739377
1,0.9963225
1,0.9605467
1,0.91849786
1,0.923305
1,0.96462107
1,0.94418705
1,0.9919708
1,0.96794
1,0.5908872
1,0.9642687
1,0.96534103
1,0.99974734
1,0.979829
1,0.8140116
1,0.8467828
1,0.89534974
1,0.95307416
1,0.9764806
1,0.8781901
1,0.9998068
1,0.9997985
1,0.8695095
1,0.97896874
1,0.9932641
1,0.6767549
1,0.9064308
1,0.9485501
1,0.973498
1,0.76034003
1,0.77289945
1,0.2651059
1,0.9762322
1,0.9974597
1,0.68913126
1,0.78853905
1,0.9975401
1,0.74933285
1,0.48676336
1,0.46687317
1,0.87283075
1,0.9995746
1,0.8493309
1,0.9165217
1,0.8594626
1,0.81103265
1,0.8936073
1,0.98926383
1,0.97970426
1,0.8211166
1,0.97801995
1,0.9778095
1,0.9705366
1,0.84742016
1,0.85727364
1,0.9998511
1,0.97756857
1,0.99971706
1,0.80985427
1,0.9299917
1,0.93122756
1,0.99181163
1,0.9785245
1,0.98550564
1,0.9994912
1,0.8690306
1,0.8751609
1,0.9859905
1,0.99038106
1,0.98790133
1,0.94910914
1,0.9181907
1,0.79612744
1,0.97000295
1,0.9968016
1,0.92684776
1,0.9777142
1,0.81164396
1,0.971493
1,0.995297
1,0.9776054
1,0.9622984
1,0.6262893
1,0.92106247
1,0.97872293
1,0.82702905
1,0.97913796
1,0.9967996
1,0.99500954
1,0.9944101
1,0.58475167
1,0.97341204
1,0.9993542
1,0.99982136
1,0.9997031
1,0.9790943
1,0.684895
1,0.9996106
1,0.9995741
1,0.99104416
1,0.99556583
1,0.9939466
1,0.4959491
1,0.9730866
1,0.8478386
1,0.9766722
1,0.97299564
1,0.9625382
1,0.97646797
1,0.9790315
1,0.9758076
1,0.9475971
1,0.9219577
1,0.97714466
1,0.7419741
1,0.78111607
1,0.97513956
1,0.9445112
1,0.8846433
1,0.9848792
1,0.990657
1,0.9012561
1,0.99976176
1,0.9984975
1,0.9944733
1,0.9833973
1,0.8320113
1,0.7798487
1,0.9955023
1,0.9543368
1,0.8790458
1,0.9592154
1,0.9113366
1,0.99978393
1,0.8680478
1,0.6577061
1,0.86860615
1,0.42449892
1,0.9150929
1,0.99931777
1,0.95876426
1,0.98716366
1,0.9775264
1,0.93787706
1,0.9166455
1,0.8082365
1,0.72736967
1,0.8544391
1,0.678786
1,0.8684579
1,0.8816816
1,0.9456073
1,0.9849111
1,0.99951947
1,0.90629536
1,0.99978834
1,0.9509348
1,0.94555783
1,0.99978596
1,0.9268882
1,0.99978167
1,0.91775215
1,0.9865649
1,0.9733978
1,0.9995789
1,0.37356737
1,0.92210454
1,0.995116
1,0.90584034
1,0.8330056
1,0.8052995
1,0.98052603
1,0.99987257
1,0.92570966
1,0.9996811
1,0.987944
1,0.9908709
1,0.9765692
1,0.9993697
1,0.9242645
1,0.976542
1,0.9931853
1,0.87098044
1,0.982894
1,0.8707608
1,0.8683201
1,0.7951047
1,0.99114066
1,0.97674197
1,0.78959906
1,0.9559567
1,0.814457
1,0.94311625
1,0.9132189
1,0.877236
1,0.5226411
1,0.7971833
1,0.9996953
1,0.9888136
1,0.9979348
1,0.99985397
1,0.90440893
1,0.9997743
1,0.9997991
1,0.7464209
1,0.2296209
1,0.9612841
1,0.97584814
1,0.91013116
1,0.94242024
1,0.9980069
1,0.7884777
1,0.98034644
1,0.99348056
1,0.8098187
1,0.79053885
1,0.6804548
1,0.5035303
1,0.97680706
1,0.9944423
1,0.83291006
1,0.9998455
1,0.7340067
1,0.99981076
1,0.97802013
1,0.76532006
1,0.916496
1,0.97436994
1,0.99231917
1,0.9868819
1,0.8341278
1,0.83027124
1,0.96525717
1,0.9198713
1,0.9055903
1,0.9998777
1,0.9790111
1,0.77955633
1,0.9971275
1,0.97819304
1,0.96486956
1,0.9967573
1,0.64071685
1,0.9759542
1,0.76586884
1,0.97904974
1,0.9630139
1,0.9709514
1,0.99399066
1,0.91243154
1,0.97466385
1,0.97697383
1,0.9945273
1,0.98075634
1,0.92394334
1,0.592817
1,0.9775638
1,0.9919024
1,0.99573517
1,0.95282483
1,0.9768882
1,0.6598084
1,0.99124944
1,0.9786041
1,0.96802956
1,0.97679204
1,0.8932691
1,0.97822726
1,0.7812279
1,0.97132385
1,0.991521
1,0.93062156
1,0.8769684
1,0.5157989
1,0.8049535
1,0.96841395
1,0.82230276
1,0.999874
1,0.65475917
1,0.97833407
1,0.98866665
1,0.6323149
1,0.81177104
1,0.8687972
1,0.96979946
1,0.6213721
1,0.97841346
1,0.54940337
1,0.8340805
1,0.6126985
1,0.9679382
1,0.9211733
1,0.97943854
1,0.9811928
1,0.9992848
1,0.9779423
1,0.9774071
1,0.85154164
1,0.98422885
1,0.9451174
1,0.8630264
1,0.9793616
1,0.97895104
1,0.91858447
1,0.99459994
1,0.84133357
1,0.61089283
1,0.99836606
1,0.79216737
1,0.7696088
1,0.9759891
1,0.9737681
1,0.81694233
1,0.8827227
1,0.7910181
1,0.9014848
1,0.68135905
1,0.6037259
1,0.7834794
1,0.9998609
1,0.9007907
